cover_image,link_to_book,link_to_book/_text
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=2097677&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=2097677,You Can Never Go Down the Drain
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=2175666&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=2175666,Noah's Ark
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=2159064&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=2159064,Bath Buddies: Shiny Starfish
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=2307224&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=2307224,Old King Cole and Friends
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=2307223&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=2307223,Old Macdonald's Tub
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=2231448&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=2231448,Rhifau
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=2231449&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=2231449,Lliwiau
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=3121690&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=3121690,Father Christmas Bath Book
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=863511&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=863511,Wally Whale and His Friends
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=9711743&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=9711743,Wipe-Clean Buggy Buddies: Shapes
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=5236381&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=5236381,Summer
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=5700715&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=5700715,Silly Frog
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=9539366&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=9539366,Splish Splash
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=10703393&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=10703393,Jungle
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=2818735&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=2818735,My Giant ABC Bath Book
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=5237316&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=5237316,Baby Me - Baby Book Bath Books
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=2818736&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=2818736,My Giant 123 Bath Book
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=5237315&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=5237315,Splash Me - Baby Boo Bath Books
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=10703392&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=10703392,Garden
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=10703391&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=10703391,Water
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=10703394&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=10703394,Farm
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=3611917&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=3611917,The Big Number Fish
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=3210741&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=3210741,Jolly Pirate Bath Book
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=4916951&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=4916951,Baby Sees on the Beach
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=4986429&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=4986429,Lizzy the Lamb Bath Book
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=4212463&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=4212463,Bath Book
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=4212461&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=4212461,Bath Book
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=4209546&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=4209546,Cow Says Moo
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=4212462&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=4212462,Bath Book
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=4212464&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=4212464,Bath Book
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=4426819&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=4426819,Pirate Pete
