book_page_url,isbn,title,subtitle,cover_image,publisher,pub_date,author_primary,author_secondary,awards,book_description,spec_all,category_all
,,Paris (Broché),,http://b.decitre.di-static.com/media/catalog/product/cache/1/image/200x303/9df78eab33525d08d6e5fb8d27136e95/9/7/8/2/0/9/2/5/9782092551936FS.gif,"[""Nathan"", ""Questions Réponses 6/8 ans""]",Paru le : 13/02/2014,"Gérard Dhôtel, Vincent Desplanche",,,,"Date de parution : 13/02/2014 Editeur : Nathan Collection : Questions Réponses 6/8 ans ISBN : 978-2-09-255193-6 EAN : 9782092551936 Format : Album Présentation : Broché Nb. de pages : 32 pages Poids : 0,422 Kg Dimensions : 23,6 cm × 28,9 cm × 0,9 cm",Livres > Jeunesse > Documentaires > Livres > Jeunesse > Documentaires > Découvrir le monde 6-10 ans > Livres > Jeunesse > Documentaires > Découvrir le monde 6-10 ans > La France > Livres > Jeunesse > Documentaires > Encyclopédies diverses 10ans et plus >
,,Je veux changer de prénom ! (Broché),,http://b.decitre.di-static.com/media/catalog/product/cache/1/image/200x303/9df78eab33525d08d6e5fb8d27136e95/9/7/8/2/0/9/2/5/9782092556351FS.gif,"[""Nathan"", ""Premières lectures""]",Paru le : 08/01/2015,René Gouichoux,Rémi Saillard (Illustrateur),,"André déteste qu'on l'appelle Dédé. Mais, au royaume des chats, on ne change pas de prénom comme ça...","Date de parution : 08/01/2015 Editeur : Nathan Collection : Premières lectures ISBN : 978-2-09-255635-1 EAN : 9782092556351 Format : Poche Présentation : Broché Nb. de pages : 29 pages Poids : 0,119 Kg Dimensions : 14,4 cm × 19,0 cm × 0,6 cm",Livres > Jeunesse > Lectures jeunesse 6-12 ans > Livres > Jeunesse > Lectures jeunesse 6-12 ans > Romans 6-9 ans > Livres > Jeunesse > Lectures jeunesse 6-12 ans > Romans 6-9 ans > Nathanpoche 6-8 ans >
,,Le guide de la cavalière - Tout pour passer ses galops 1 à 4 (Relié),,http://a.decitre.di-static.com/media/catalog/product/cache/1/image/200x303/9df78eab33525d08d6e5fb8d27136e95/9/7/8/2/0/9/2/5/9782092557617FS.gif,Nathan,Paru le : 02/01/2015,Delphine Godard,Isabelle Arnon (Photographe),,"Toutes les infos pour bien connaître et soigner son cheval : anatomie, races et robes, nourriture, méthodes de pansage... Ce qu'il faut savoir pour bien monter à cheval : équipement, figures, saut d'obstacles, compétition... Avec des conseils de pro, des interviews d'experts et des quiz pour se tester.","Date de parution : 02/01/2015 Editeur : Nathan ISBN : 978-2-09-255761-7 EAN : 9782092557617 Présentation : Relié Nb. de pages : 124 pages Poids : 0,724 Kg Dimensions : 22,5 cm × 28,7 cm × 1,3 cm",Livres > Jeunesse > Documentaires > Livres > Jeunesse > Documentaires > Activités sportives 6-10 ans > Livres > Jeunesse > Documentaires > Encyclopédies diverses 10ans et plus >
,,Martine - Les animaux de la ferme (Broché),,http://b.decitre.di-static.com/media/catalog/product/cache/1/image/200x303/9df78eab33525d08d6e5fb8d27136e95/9/7/8/2/2/0/3/0/9782203079878FS.gif,"[""Casterman"", ""Apprendre à lire en s'amusant""]",Paru le : 12/03/2014,"Gilbert Delahaye, Marcel Marlier",,,,"Date de parution : 12/03/2014 Editeur : Casterman Collection : Apprendre à lire en s'amusant ISBN : 978-2-203-07987-8 EAN : 9782203079878 Présentation : Broché Nb. de pages : 12 pages Poids : 0,105 Kg Dimensions : 19,2 cm × 24,8 cm × 0,3 cm","Livres > Jeunesse > Jeux, loisirs & activités > Livres > Jeunesse > Jeux, loisirs & activités > Jeux pour enfants > Livres > Jeunesse > Jeux, loisirs & activités > Jeux pour enfants > Coloriages, gommettes & autocollants > Livres > Loisirs, nature & voyages > Sports & jeux > Jeux pour enfants > Livres > Loisirs, nature & voyages > Sports & jeux > Jeux pour enfants > Coloriages, gommettes & autocollants >"
,,3 petits lapins gourmands (Relié),,http://b.decitre.di-static.com/media/catalog/product/cache/1/image/200x303/9df78eab33525d08d6e5fb8d27136e95/9/7/8/2/2/0/3/0/9782203076990FS.gif,Casterman,Paru le : 02/05/2013,"Simonne Baudoin, Lucie Dermine",,,"Dame Peluche prépare de délicieuses confitures. Pop, Poppy et Poupette, 3 petits lapins gourmands ont décidé de l'aider. Comme ces jolis pots sont tentants !","Date de parution : 02/05/2013 Editeur : Casterman ISBN : 978-2-203-07699-0 EAN : 9782203076990 Format : Album Présentation : Relié Nb. de pages : 20 pages Poids : 0,094 Kg Dimensions : 19,9 cm × 20,0 cm × 0,3 cm",Livres > Jeunesse > Albums 0-6 ans > Livres > Jeunesse > Albums 0-6 ans > Albums 3-6 ans > Livres > Jeunesse > Albums 0-6 ans > Albums 3-6 ans > Casterman >
,,Mon livre-jeux Martine (Broché),,http://b.decitre.di-static.com/media/catalog/product/cache/1/image/200x303/9df78eab33525d08d6e5fb8d27136e95/9/7/8/2/2/0/3/0/9782203079885FS.gif,"[""Casterman"", ""Martine""]",Paru le : 04/06/2014,"Gilbert Delahaye, Marcel Marlier",,,,"Date de parution : 04/06/2014 Editeur : Casterman Collection : Martine ISBN : 978-2-203-07988-5 EAN : 9782203079885 Présentation : Broché Nb. de pages : 95 pages Poids : 0,41 Kg Dimensions : 21,5 cm × 29,0 cm × 0,9 cm","Livres > Jeunesse > Jeux, loisirs & activités > Livres > Jeunesse > Jeux, loisirs & activités > Jeux pour enfants > Livres > Jeunesse > Jeux, loisirs & activités > Jeux pour enfants > Livres-jeux > Livres > Loisirs, nature & voyages > Sports & jeux > Jeux pour enfants > Livres > Loisirs, nature & voyages > Sports & jeux > Jeux pour enfants > Livres-jeux >"
,,3 petits livres marionnettes (Cartonné),,http://b.decitre.di-static.com/media/catalog/product/cache/1/image/200x303/9df78eab33525d08d6e5fb8d27136e95/9/7/8/2/2/1/1/2/9782211207591FS.gif,"[""Ecole des Loisirs (L')"", ""Loulou & Cie""]",Paru le : 27/10/2011,Malika Doray,,,"Ces poupées de papier tiennent debout toutes seules, on peut les lire ou bien tout simplement les poser à côté de soi pour les admirer. Une petite histoire accompagne chaque marionnette.","Date de parution : 27/10/2011 Editeur : Ecole des Loisirs (L') Collection : Loulou & Cie ISBN : 978-2-211-20759-1 EAN : 9782211207591 Présentation : Cartonné Nb. de pages : 30 pages Poids : 0,175 Kg Dimensions : 20,0 cm × 22,5 cm × 2,0 cm",Livres > Jeunesse > Albums 0-6 ans > Livres > Jeunesse > Albums 0-6 ans > Pour les tout-petits (0-3 ans) > Livres > Jeunesse > Albums 0-6 ans > Tout-carton (0-3 ans) >
,,3 histoires pour mes 3 ans (Cartonné),,http://a.decitre.di-static.com/media/catalog/product/cache/1/image/200x303/9df78eab33525d08d6e5fb8d27136e95/9/7/8/2/2/1/5/1/9782215117322FS.gif,"[""Fleurus"", ""Mes histoires d'anniversaire""]",A paraître le : 13/03/2015,Collectif,,,,Date de parution : 13/03/2015 Editeur : Fleurus Collection : Mes histoires d'anniversaire ISBN : 978-2-215-11732-2 EAN : 9782215117322 Format : Album Présentation : Cartonné,Livres > Jeunesse > Albums 0-6 ans > Livres > Jeunesse > Albums 0-6 ans > Albums 3-6 ans > Livres > Jeunesse > Albums 0-6 ans > Albums 3-6 ans > Autres éditeurs >
,,Bien ! Pas bien ! A la maison (Broché),,http://a.decitre.di-static.com/media/catalog/product/cache/1/image/200x303/9df78eab33525d08d6e5fb8d27136e95/9/7/8/2/2/1/5/1/9782215114758FS.gif,"[""Fleurus"", ""l'imagerie des tout-petits""]",Paru le : 15/06/2012,Emilie Beaumont,Sylvie Michelet (Illustrateur),,"A travers des scènes de la vie quotidienne, l'enfant, en observant et en commentant ce qu'il voit, devra dire si pour lui c'est bien ou pas bien.","Date de parution : 15/06/2012 Editeur : Fleurus Collection : l'imagerie des tout-petits ISBN : 978-2-215-11475-8 EAN : 9782215114758 Format : Album Présentation : Broché Nb. de pages : 18 pages Poids : 0,205 Kg Dimensions : 16,5 cm × 20,5 cm × 0,9 cm",Livres > Jeunesse > Documentaires > Livres > Jeunesse > Documentaires > Encyclopédies diverses 10ans et plus > Livres > Jeunesse > Documentaires > L'imagerie des tout-petits >
,,"Je, tu, il m'embête (Broché)",,http://a.decitre.di-static.com/media/catalog/product/cache/1/image/200x303/9df78eab33525d08d6e5fb8d27136e95/9/7/8/2/2/1/1/2/9782211213875FS.gif,"[""Ecole des Loisirs (L')"", ""Pastel""]",Paru le : 22/08/2013,Michel Van Zeveren,,,"C’est pas moi, c’est lui ! - « Attention, pas de bêtises, les enfants » dit Maître loup avant de s’absenter de la classe. Alors, plutôt que de s’embêter, petit loup décide d’embêter petit lapin. Petite souris embête petit loup mais petit sanglier arrive et se fait embêter par petite biche. Les trois petits cochons interviennent. Qui embêtera petite grenouille ? Finalement, est-ce les plus grands qui embêtent les petits ? Les filles embêtent-elles plus les garçons que l’inverse ? Lorsque tout le monde embête tout le monde, on finit par s’embêter… surtout quand on est des petites bêtes à oreilles !","Date de parution : 22/08/2013 Editeur : Ecole des Loisirs (L') Collection : Pastel ISBN : 978-2-211-21387-5 EAN : 9782211213875 Format : Album Présentation : Broché Nb. de pages : 32 pages Poids : 0,26 Kg Dimensions : 17,6 cm × 24,8 cm × 0,9 cm",Livres > Jeunesse > Albums 0-6 ans > Livres > Jeunesse > Albums 0-6 ans > Albums 3-6 ans > Livres > Jeunesse > Albums 0-6 ans > Albums 3-6 ans > Ecole des Loisirs >
,,La saison des dangers (Broché),,http://a.decitre.di-static.com/media/catalog/product/cache/1/image/200x303/9df78eab33525d08d6e5fb8d27136e95/9/7/8/2/2/1/1/2/9782211208178FS.gif,"[""Ecole des Loisirs (L')"", ""Médium""]",Paru le : 22/08/2012,Susan Hubbard,Marion Danton (Traducteur),,"« Vous faites plus que vos dix-neuf ans… » C’est le genre de remarque qu’Ari aime entendre. Dix-neuf ans, elle ? C’est ce qu’indique sa fausse carte d’identité, mais en réalité elle a cessé de vieillir à l’âge de treize ans en devenant vampire. Ari, une éternelle adolescente ? Il n’en est pas question. Aujourd’hui, elle veut profiter des avantages de l’âge adulte, s’afficher au bras de celui qu’elle aime, vivre au grand jour sa liaison avec Neil Cameron, ce séduisant politicien en passe d’être le premier vampire candidat à la Maison-Blanche. Chez les vampires, les ambitions de Cameron attisent les rivalités entre les Sanguinistes, les Nébulistes et les Colons. Chez les humains, ses adversaires politiques traquent ses moindres faux pas. Pour éviter de nuire à la campagne électorale, Ari doit se sacrifier… à moins de vieillir de quelques années. On parle d’une nouvelle hormone de croissance, le Septimal. On raconte qu’une injection suffit pour stimuler le processus normal de vieillissement. Une intervention sur Ari, mi-vampire, mi-humaine, n’est pas sans risques. Surtout si, cachés dans l’ombre, certains ont eu vent de son projet.","Date de parution : 22/08/2012 Editeur : Ecole des Loisirs (L') Collection : Médium ISBN : 978-2-211-20817-8 EAN : 9782211208178 Présentation : Broché Nb. de pages : 394 pages Poids : 0,47 Kg Dimensions : 13,5 cm × 21,0 cm × 3,0 cm",Livres > Jeunesse > Romans ados > Livres > Jeunesse > Romans ados > Tous nos romans ados > Livres > Jeunesse > Romans ados > Tous nos romans ados > Médium - Classiques abrégés >
,,"Mon coffret à énigmes et casse-têtes - Avec 2 livres, 2 casse-têtes en bois, 1 casse-tête en métal (Coffret)",,http://a.decitre.di-static.com/media/catalog/product/cache/1/image/200x303/9df78eab33525d08d6e5fb8d27136e95/9/7/8/2/2/1/5/1/9782215149088FS.gif,Fleurus,Paru le : 17/10/2014,"Alexandre Arlène, Loïc Méhée",,,"Labyrinthes, illusions d'optique, énigmes logiques… Plus de 200 jeux remue-méninges, à partir de 7 ans ! Un coffret contenant 2 livres de 128 pages, 2 casse-têtes en bois et un casse-tête en métal.","Date de parution : 17/10/2014 Editeur : Fleurus ISBN : 978-2-215-14908-8 EAN : 9782215149088 Présentation : Coffret Nb. de pages : 256 pages Poids : 0,55 Kg Dimensions : 19,0 cm × 19,0 cm × 5,2 cm","Livres > Jeunesse > Jeux, loisirs & activités > Livres > Jeunesse > Jeux, loisirs & activités > Jeux pour enfants > Livres > Jeunesse > Jeux, loisirs & activités > Jeux pour enfants > Livres-jeux > Livres > Loisirs, nature & voyages > Sports & jeux > Jeux pour enfants > Livres > Loisirs, nature & voyages > Sports & jeux > Jeux pour enfants > Livres-jeux >"
,,Les Minichats - Coffret 4 volumes (Coffret),,http://b.decitre.di-static.com/media/catalog/product/cache/1/image/200x303/9df78eab33525d08d6e5fb8d27136e95/9/7/8/2/2/2/6/2/9782226231017FS.gif,Albin Michel Jeunesse,Paru le : 12/10/2011,Bruno Gibert,,,"Quand on est si petit, si mini, il faut bien être trois pour porter une longue canne à pêche, pour remplir d'eau un grand lavabo et conduire une vraie voiture. Pour enfin donner à manger à Lucien.","Date de parution : 12/10/2011 Editeur : Albin Michel Jeunesse ISBN : 978-2-226-23101-7 EAN : 9782226231017 Présentation : Coffret Nb. de pages : 60 pages Poids : 0,368 Kg Dimensions : 10,5 cm × 14,5 cm × 4,0 cm",Livres > Jeunesse > Albums 0-6 ans > Livres > Jeunesse > Albums 0-6 ans > Albums 3-6 ans > Livres > Jeunesse > Albums 0-6 ans > Albums 3-6 ans > Albin Michel >
,,Girl's box - Soirée entre filles ! (Coffret),,http://b.decitre.di-static.com/media/catalog/product/cache/1/image/200x303/9df78eab33525d08d6e5fb8d27136e95/9/7/8/2/2/1/5/0/9782215099253FS.gif,Fleurus,Paru le : 14/10/2011,Anne-Sophie Jouhanneau,Isabelle Maroger (Illustrateur),,"Vous invitez vos meilleures copines à venir faire la fête chez vous ? Vous trouverez dans cette boîte tout ce qu'il faut pour la réussir ! Un livre plein d'astuces pour organiser votre soirée, des super recettes de cuisine, des propositions de jeux et des tests qui vous donneront des fous rires jusqu'au bout de la nuit, des conseils de maquillage et de coiffure ! Un jeu de cartes et son dé pour connaître encore mieux vos copines, pour vous lancer dans des discussions passionnantes, rigolotes ou farfelues. 5 badges irrésistibles à porter durant le jeu et à offrir à vos copines ! Il Un livre d'or pour recevoir tous les mots doux de vos copines avant, pendant et après la soirée !","Date de parution : 14/10/2011 Editeur : Fleurus ISBN : 978-2-215-09925-3 EAN : 9782215099253 Présentation : Coffret Nb. de pages : 80 pages Poids : 0,763 Kg Dimensions : 25,0 cm × 25,2 cm × 4,6 cm","Livres > Jeunesse > Jeux, loisirs & activités > Livres > Jeunesse > Jeux, loisirs & activités > Jeux pour enfants > Livres > Jeunesse > Jeux, loisirs & activités > Jeux pour enfants > Livres-jeux > Livres > Loisirs, nature & voyages > Sports & jeux > Jeux pour enfants > Livres > Loisirs, nature & voyages > Sports & jeux > Jeux pour enfants > Livres-jeux >"
,,Mes animaux préférés de A a Z (Cartonné),,http://b.decitre.di-static.com/media/catalog/product/cache/1/image/200x303/9df78eab33525d08d6e5fb8d27136e95/9/7/8/2/2/1/5/1/9782215148999FS.gif,"[""Fleurus"", ""J'apprends à dessiner""]",Paru le : 19/09/2014,Philippe Legendre,,,Une méthode facile et ludique pour dessiner près de 50 animaux !,"Date de parution : 19/09/2014 Editeur : Fleurus Collection : J'apprends à dessiner ISBN : 978-2-215-14899-9 EAN : 9782215148999 Présentation : Cartonné Nb. de pages : 120 pages Poids : 0,653 Kg Dimensions : 21,0 cm × 23,1 cm × 1,8 cm","Livres > Bien-être & vie pratique > Décoration, jardinage & bricolage > Loisirs créatifs pour enfants > Livres > Bien-être & vie pratique > Décoration, jardinage & bricolage > Loisirs créatifs pour enfants > Peinture et dessin > Livres > Jeunesse > Jeux, loisirs & activités > Livres > Jeunesse > Jeux, loisirs & activités > Loisirs créatifs pour enfants > Peinture & dessin > Livres > Loisirs, nature & voyages > Brico-déco & jardin > Loisirs créatifs pour enfants > Peinture et dessin >"
,,"Jade, fille de l'eau (Broché)",,http://b.decitre.di-static.com/media/catalog/product/cache/1/image/200x303/9df78eab33525d08d6e5fb8d27136e95/9/7/8/2/2/2/6/2/9782226231031FS.gif,"[""Albin Michel (Editions)"", ""Wiz""]",Paru le : 11/01/2012,Nina Blazon,Nelly Lemaire (Traducteur),,"Jade vit dans une ville commandée de main de fer par la redoutable Lady Mar. La souveraine, qui semble terrifiée par l'eau, a déclaré la guerre aux Echos, des créatures aquatiques aux pouvoirs étranges. Jade qui dissimule qu'elle est à moitié Echo oublie le danger quand un nouveau venu arrive en ville : Faune, qui l'attire irrésistiblement. Mais Faune est un chasseur d'Echo qui a grandi dans la haine de ce peuple inconnu. Voilà Jade amoureuse de celui qui pourrait bien la tuer.","Date de parution : 11/01/2012 Editeur : Albin Michel (Editions) Collection : Wiz ISBN : 978-2-226-23103-1 EAN : 9782226231031 Présentation : Broché Nb. de pages : 350 pages Poids : 0,44 Kg Dimensions : 15,0 cm × 23,0 cm × 2,5 cm",Livres > Jeunesse > Romans ados > Livres > Jeunesse > Romans ados > Tous nos romans ados > Livres > Jeunesse > Romans ados > Tous nos romans ados > Albin Michel - Wiz >
,,Bien ! Pas bien ! En vacances (Broché),,http://b.decitre.di-static.com/media/catalog/product/cache/1/image/200x303/9df78eab33525d08d6e5fb8d27136e95/9/7/8/2/2/1/5/1/9782215114741FS.gif,"[""Fleurus"", ""l'imagerie des tout-petits""]",Paru le : 15/06/2012,Emilie Beaumont,Sylvie Michelet (Illustrateur),,"A travers des scènes de la vie quotidienne, l'enfant, en observant et en commentant ce qu'il voit, devra dire si pour lui c'est bien ou pas bien.","Date de parution : 15/06/2012 Editeur : Fleurus Collection : l'imagerie des tout-petits ISBN : 978-2-215-11474-1 EAN : 9782215114741 Présentation : Broché Nb. de pages : 18 pages Poids : 0,206 Kg Dimensions : 16,5 cm × 20,5 cm × 1,0 cm",Livres > Jeunesse > Documentaires > Livres > Jeunesse > Documentaires > Encyclopédies diverses 10ans et plus > Livres > Jeunesse > Documentaires > L'imagerie des tout-petits >
,,Quand on s'embrasse sur la lune (Broché),,http://b.decitre.di-static.com/media/catalog/product/cache/1/image/200x303/9df78eab33525d08d6e5fb8d27136e95/9/7/8/2/2/2/6/2/9782226242730FS.gif,"[""Albin Michel (Editions)"", ""Wiz""]",Paru le : 03/10/2012,Stephen Tunney,Dorothée Zumstein (Traducteur),,"Hieronymus, 16 ans, vit sur la Lune, colonisée depuis des décennies par les humains. C’est un garçon 100% Lunaire, c’est-à-dire qu’il est capable de percevoir une 4e couleur primaire et de prédire l’avenir. Mais les autorités redoutent les Lunaires : d’après eux, croiser leur regard peut rendre fou, voire tuer. Tous les lunaires doivent donc porter des lunettes protectrices colorées pour signaler leur particularité. Lorsque Hieronymus dévoile ses yeux à une jeune Terrienne et échange un baiser avec elle, il viole la Loi lunaire. De plus la Terrienne disparaît et les ennuis commencent pour Hieronymus désormais recherché par la police…","Date de parution : 03/10/2012 Editeur : Albin Michel (Editions) Collection : Wiz ISBN : 978-2-226-24273-0 EAN : 9782226242730 Présentation : Broché Nb. de pages : 490 pages Poids : 0,57 Kg Dimensions : 14,6 cm × 21,6 cm × 3,5 cm",Livres > Jeunesse > Romans ados > Livres > Jeunesse > Romans ados > Actualité éditoriale > Best-sellers ados 2012 > 100% fille > Livres > Jeunesse > Romans ados > Tous nos romans ados > Livres > Jeunesse > Romans ados > Tous nos romans ados > Albin Michel - Wiz >
,,Récits fabuleux de la mythologie (Broché),,http://a.decitre.di-static.com/media/catalog/product/cache/1/image/200x303/9df78eab33525d08d6e5fb8d27136e95/9/7/8/2/2/2/6/2/9782226242815FS.gif,Albin Michel (Editions),Paru le : 29/08/2012,Michel Piquemal,Séverin Millet (Illustrateur),,"Version poche reprenant les meilleures histoires des deux recueils Fables mythologiques (Amours, ruses et jalousies et Des héros et des monstres) publiés en 2006. Ce volume contient 28 épisodes de la mythologie grecque, racontés avec beaucoup de clarté et de simplicité par Michel Piquemal. Chaque histoire est assortie d'un ""petit rebond"", court commentaire questionneur, philosophique, ou poétique qui en éclaire la profondeur (à la manière des Philofables). On retrouve avec plaisir des personnages ou destinées célèbres (Prométhée, Héraclès, Thésée, Narcisse ou encore Orphée) mais aussi des héros pris au piège de leur destin (Œdipe, Achille...) et des créatures aussi redoutables que monstrueuses (la Chimère, l'Hydre de Lerne...). Toutes ont de grandes résonances morales et philosophiques.","Date de parution : 29/08/2012 Editeur : Albin Michel (Editions) ISBN : 978-2-226-24281-5 EAN : 9782226242815 Présentation : Broché Nb. de pages : 187 pages Poids : 0,264 Kg Dimensions : 13,7 cm × 18,8 cm × 1,5 cm",Livres > Jeunesse > Romans ados > Livres > Jeunesse > Romans ados > Mythes & légendes > Livres > Jeunesse > Romans ados > Mythes & légendes > Mythologies du monde >
,,La voiture de police de Brice (Cartonné),,http://b.decitre.di-static.com/media/catalog/product/cache/1/image/200x303/9df78eab33525d08d6e5fb8d27136e95/9/7/8/2/2/1/5/1/9782215114789FS.gif,"[""Fleurus"", ""P'tit garçon""]",Paru le : 11/05/2012,Nathalie Bélineau,"Alexis Nesme (Illustrateur), Emilie Beaumont (Auteur)",,Une histoire pour que l'enfant puisse s'identifier au héros et laisser vagabonder son imagination.,"Date de parution : 11/05/2012 Editeur : Fleurus Collection : P'tit garçon ISBN : 978-2-215-11478-9 EAN : 9782215114789 Format : Album Présentation : Cartonné Nb. de pages : 12 pages Poids : 0,24 Kg Dimensions : 15,8 cm × 17,0 cm × 1,8 cm",Livres > Jeunesse > Albums 0-6 ans > Livres > Jeunesse > Albums 0-6 ans > Actualité éditoriale > Albums Fleurus > Livres > Jeunesse > Albums 0-6 ans > Bonnes Affaires > Offre Fleurus > Livres > Jeunesse > Albums 0-6 ans > Pour les tout-petits (0-3 ans) > Livres > Jeunesse > Albums 0-6 ans > Tout-carton (0-3 ans) >
,,La voiture de police de Brice (Broché),,http://a.decitre.di-static.com/media/catalog/product/cache/1/image/200x303/9df78eab33525d08d6e5fb8d27136e95/9/7/8/2/2/1/5/1/9782215141716FS.gif,"[""Fleurus"", ""P'tit garçon""]",Paru le : 14/03/2014,"Jack Delaroche, Emilie Beaumont, Alexis Nesme",,,Des cahiers pour permettre aux enfants de s'amuser à reconstituer des scènes extraites du livre de la collection P'tit garçon la voiture de police de Brice.,"Date de parution : 14/03/2014 Editeur : Fleurus Collection : P'tit garçon ISBN : 978-2-215-14171-6 EAN : 9782215141716 Présentation : Broché Nb. de pages : 10 pages Poids : 0,092 Kg Dimensions : 21,0 cm × 23,0 cm × 0,3 cm","Livres > Jeunesse > Jeux, loisirs & activités > Livres > Jeunesse > Jeux, loisirs & activités > Jeux pour enfants > Livres > Jeunesse > Jeux, loisirs & activités > Jeux pour enfants > Coloriages, gommettes & autocollants > Livres > Loisirs, nature & voyages > Sports & jeux > Jeux pour enfants > Livres > Loisirs, nature & voyages > Sports & jeux > Jeux pour enfants > Coloriages, gommettes & autocollants >"
,,Je découvre la politesse avec Le Petit Prince (Relié),,http://a.decitre.di-static.com/media/catalog/product/cache/1/image/200x303/9df78eab33525d08d6e5fb8d27136e95/9/7/8/2/2/1/5/1/9782215126324FS.gif,"[""Fleurus"", ""Le Petit Prince""]",Paru le : 11/04/2014,Fleurus,,,Apprendre les mots magiques avec Le Petit Prince au fil d'une histoire mises en images par les aquarelles cultes d'Antoine de Saint-Exupéry. Un univers tendre et poétique pour favoriser l'éveil des tout-petits et partager un doux moment avec son bébé.,"Date de parution : 11/04/2014 Editeur : Fleurus Collection : Le Petit Prince ISBN : 978-2-215-12632-4 EAN : 9782215126324 Format : Album Présentation : Relié Nb. de pages : 12 pages Poids : 0,286 Kg Dimensions : 17,5 cm × 19,0 cm × 2,3 cm",Livres > Jeunesse > Albums 0-6 ans > Livres > Jeunesse > Albums 0-6 ans > Premières notions (0-3 ans) > Livres > Jeunesse > Albums 0-6 ans > Premières notions (0-3 ans) > Imagiers & premiers dictionnaires >
,,Le grimoire du manoir magique (Relié),,http://a.decitre.di-static.com/media/catalog/product/cache/1/image/200x303/9df78eab33525d08d6e5fb8d27136e95/9/7/8/2/2/1/5/1/9782215125877FS.gif,Fleurus,Paru le : 22/11/2013,Emmanuelle Lepetit,nWave pictures,,"Tonnerre, un petit chat abandonné, trouve refuge dans un mystérieux manoir où vivent un magicien farfelu, Lorenz, et sa joyeuse troupe d'animaux et d'automates aux pouvoirs surprenants. A la suite d'un accident de bicyclette, le magicien est hospitalisé. Son avide neveu en profite alors pour essayer de vendre le manoir à son insu. L'intrépide Tonnerre et ses compères parviendront-ils à mettre à mal son odieux projet ? Une histoire pleine de magie et de rebondissements à partager en famille.","Date de parution : 22/11/2013 Editeur : Fleurus ISBN : 978-2-215-12587-7 EAN : 9782215125877 Format : Album Présentation : Relié Nb. de pages : 44 pages Poids : 0,493 Kg Dimensions : 20,5 cm × 24,5 cm × 1,3 cm",Livres > Jeunesse > Albums 0-6 ans > Livres > Jeunesse > Albums 0-6 ans > Contes & légendes 3-6 ans > Livres > Jeunesse > Albums 0-6 ans > Les héros des 3-6 ans > Autres films pour enfants >
,,Troubles (Broché),,http://a.decitre.di-static.com/media/catalog/product/cache/1/image/200x303/9df78eab33525d08d6e5fb8d27136e95/9/7/8/2/2/2/6/2/9782226242891FS.gif,"[""Albin Michel (Editions)"", ""Wiz""]",Paru le : 29/08/2012,Claudine Desmarteau,,,"Camille partage tout avec son meilleur ami Fred : les soirées, les cours, les joints, les films, des parents incompréhensibles et un vague rêve pour l'avenir... Depuis que Fred a perdu sa mère, Camille le sent sur le fil. Mais Camille est comme un ange gardien pour lui. Entre eux, c'est ""à la vie, à la mort"". Au cours d'un week-end à la campagne entre copains du lycée, Fukushima, le garçon dont tout le monde rit, se joint à eux. Sa présence fait monter la tension, les heures passent, les moqueries fusent et l'alcool coule à flot, jusqu'au moment où...","Date de parution : 29/08/2012 Editeur : Albin Michel (Editions) Collection : Wiz ISBN : 978-2-226-24289-1 EAN : 9782226242891 Présentation : Broché Nb. de pages : 187 pages Poids : 0,25 Kg Dimensions : 14,5 cm × 21,6 cm × 1,8 cm",Livres > Jeunesse > Romans ados > Livres > Jeunesse > Romans ados > Tous nos romans ados > Livres > Jeunesse > Romans ados > Tous nos romans ados > Albin Michel - Wiz >
,,Madame Pamplemousse (Coffret),"Coffret 3 volumes - Tome 1, Madame Pamplemousse et ses Fabuleux Délices ; Tome 2, Madame pamplemousse et le café à remonter le temps ; Tome 3, Madame Pamplemousse et la confiserie enchantée",http://a.decitre.di-static.com/media/catalog/product/cache/1/image/200x303/9df78eab33525d08d6e5fb8d27136e95/9/7/8/2/2/2/6/2/9782226243171FS.gif,"[""Albin Michel Jeunesse"", ""Witty""]",Paru le : 31/10/2012,Rupert Kingfisher,"Sue Hellard (Illustrateur), Valérie Le Plouhinec (Traducteur)",,"Le monde de Madame Pamplemousse est un Paris aux ruelles étroites, traversé par la Seine, où les habitants cultivent l'art de la gastronomie et la douceur de vivre. Un esprit de fête qu’avec ses deux amis, l’innocente Madeleine et le redoutable Camembert, elle défend vigoureusement contre tous ceux qui voudraient le mettre en péril. Ce coffret réunit trois aventures irrésistibles où Madame Pamplemousse nous entraîne à un rythme endiablé dans son univers magique…","Date de parution : 31/10/2012 Editeur : Albin Michel Jeunesse Collection : Witty ISBN : 978-2-226-24317-1 EAN : 9782226243171 Présentation : Coffret Nb. de pages : 384 pages Poids : 0,765 Kg Dimensions : 14,5 cm × 21,8 cm × 4,0 cm",Jeunesse > Enfants > Collection Witty > Livres > Jeunesse > Lectures jeunesse 6-12 ans > Livres > Jeunesse > Lectures jeunesse 6-12 ans > Romans 9-12 ans > Livres > Jeunesse > Lectures jeunesse 6-12 ans > Romans 9-12 ans > Autres collections 9-12 ans >
