pub_date,link_to_book/_text,link_to_book,author,publisher,
20/03/2012,REVELACION,http://www.casadellibro.com/libro-revelacion/9788492687510/1975320,ANISSA B. DAMON,AMBAR,
20/03/2012,CAZADORES DE SOMBRAS. LOS ORIGENES 2: PRINCIPE MECANICO,http://www.casadellibro.com/libro-cazadores-de-sombras-los-origenes-2-principe-mecanico/9788408102335/1957580,CASSANDRA CLARE,PLANETA,
20/03/2013,ANIMA MUNDI 1. HIJOS DEL CLAN ROJO,http://www.casadellibro.com/libro-anima-mundi-1-hijos-del-clan-rojo/9788408064176/2079141,ELIA BARCELO,PLANETA,
20/03/2014,LA ULTIMA LAGRIMA,http://www.casadellibro.com/libro-la-ultima-lagrima/9788490430927/2254385,KATE LAUREN,MONTENA,
20/04/2014,CUENTA UNA BELLA HISTORIA,http://www.casadellibro.com/libro-cuenta-una-bella-historia/9788415787655/2433422,PEDRO DEL REY FERRANDIS,CLUB UNIVERSITARIO,
20/05/2009,LA RESISTENCIA: MEMORIAS DE IDHUN,http://www.casadellibro.com/libro-la-resistencia-memorias-de-idhun/9788467535259/1255369,LAURA GALLEGO GARCIA,EDICIONES SM,
20/05/2010,EL CURSO EN QUE ME ENAMORE DE TI,http://www.casadellibro.com/libro-el-curso-en-que-me-enamore-de-ti/9788408090717/1720200,BLANCA ALVAREZ,PLANETA,
20/05/2010,MISION 6: ANIMALES EN PELIGRO,http://www.casadellibro.com/libro-mision-6-animales-en-peligro/9788498382822/1701650,ROBERT MUCHAMORE,"SALAMANDRA (PUBLICACIONES Y EDICIONES SALAMANDRA, S.A.)",
20/05/2013,LA ISLA DEL TESORO,http://www.casadellibro.com/libro-la-isla-del-tesoro/9788497406000/2114345,ROBERT LOUIS STEVENSON,CASTALIA,
20/05/2014,TE LO DIRE CON UNA CANCION,http://www.casadellibro.com/libro-te-lo-dire-con-una-cancion/9788490432136/2286374,PAULA PIMENTA,MONTENA,
20/06/2012,PROMESA DE SANGRE (VAMPIRE ACADEMY 4),http://www.casadellibro.com/libro-promesa-de-sangre-vampire-academy-4/9788420401348/2001745,RICHELLE MEAD,ALFAGUARA,
20/06/2013,EL LADO EXPLOSIVO DE JUDE,http://www.casadellibro.com/libro-el-lado-explosivo-de-jude/9788490430361/2094710,NICOLE WILLIAMS,MONTENA,
20/06/2013,EL LADO PELIGROSO DE JUDE,http://www.casadellibro.com/libro-el-lado-peligroso-de-jude/9788490430378/2104522,NICOLE WILLIAMS,MONTENA,
20/09/2012,EL ORO DE LOS SUEÑOS,http://www.casadellibro.com/libro-el-oro-de-los-suenos/9788468203805/2031669,JOSE MARIA MERINO,VICENS-VIVES,
20/09/2012,LA CHICA DRAGON 2,http://www.casadellibro.com/libro-la-chica-dragon-2/9788427203129/2014523,LICIA TROISI,MOLINO,
20/09/2013,NUESTRA SEÑORA DE PARIS (TOMO II),http://www.casadellibro.com/libro-nuestra-senora-de-paris-tomo-ii/9788426390912/2204908,VICTOR HUGO,LUIS VIVES (EDELVIVES),
20/10/2014,DELITO DE FUGA,http://www.casadellibro.com/libro-delito-de-fuga/9788416208371/2388895,CHRISTOPHE LEON,SIRUELA,
20/11/2012,CANCION DE MAR 1: SIRENAS,http://www.casadellibro.com/libro-cancion-de-mar-1-sirenas/9788408013624/2031591,AMANDA HOCKING,PLANETA,
20/11/2014,(I.B.D.) ENTRE SOMBRAS,http://www.casadellibro.com/libro-ibd-entre-sombras/9788415521020/2426107,LUCIA SOLAZ FRASQUET,SINERRATA,
21/01/2011,VAMPIRE ACADEMY,http://www.casadellibro.com/libro-vampire-academy/9788466320221/1819893,RICHELLE MEAD,PUNTO DE LECTURA,
21/01/2011,EXTRAS (SERIE TRAICION),http://www.casadellibro.com/libro-extras-serie-traicion/9788484416913/1820994,SCOTT WESTERFELD,MONTENA,
21/01/2014,"ROMEO Y JULIETA, DE WILLIAM SHAKESPEARE AUXILIAR DE BUP",http://www.casadellibro.com/libro-romeo-y-julieta-de-william-shakespeare-auxiliar-de-bup/9788431641405/573296,J. M. JAUMÀ,VICENS-VIVES,
21/01/2015,EL INSOLITO VIAJE DE UNA GOTA DE LLUVIA (INCLUYE CD),http://www.casadellibro.com/libro-el-insolito-viaje-de-una-gota-de-lluvia-incluye-cd/9788408135555/2426388,MARIA VILLALON,PLANETA,
21/02/2012,DELIRIUM: IMAGINA UN MUNDO SIN SENTIMIENTOS,http://www.casadellibro.com/libro-delirium-imagina-un-mundo-sin-sentimientos/9788467555356/1966134,LAUREN OLIVER,EDICIONES SM,
21/02/2012,HERMOSO CAOS,http://www.casadellibro.com/libro-hermoso-caos/9788467037166/1952678,MARGARET STOHL y KAMI GARCIA,"ESPASA LIBROS, S.L.U.",
21/02/2012,PANDEMONIUM,http://www.casadellibro.com/libro-pandemonium/9788467553185/1955165,LAUREN OLIVER,EDICIONES SM,
21/02/2013,SCARLET: CRONICAS LUNARES II,http://www.casadellibro.com/libro-scarlet-cronicas-lunares-ii/9788484418924/2052092,MARISSA MEYER,MONTENA,
21/02/2013,CINDER: CRONICAS LUNARES I,http://www.casadellibro.com/libro-cinder-cronicas-lunares-i/9788484418696/1955258,MARISSA MEYER,MONTENA,
21/03/2013,FIEBRE - TRILOGIA PARALLON I,http://www.casadellibro.com/libro-fiebre---trilogia-parallon-i/9788415532569/2094718,DEE SHULMAN,MAEVA,
21/03/2013,EL BOSQUE 1: BOSQUE DE LOS CORAZONES DORMIDOS,http://www.casadellibro.com/libro-el-bosque-1-bosque-de-los-corazones-dormidos/9788484417248/1878018,ESTHER SANZ,MONTENA,
21/03/2013,LA CAZADORA DE ALMAS,http://www.casadellibro.com/libro-la-cazadora-de-almas/9788415580485/2056986,ALYSON NOËL,MONTENA,
21/03/2013,EL BOSQUE 3: LA CIUDAD DE LA LUNA ETERNA,http://www.casadellibro.com/libro-el-bosque-3-la-ciudad-de-la-luna-eterna/9788415580515/2056987,ESTHER SANZ,MONTENA,
21/05/2013,CANCION DE MAR 3: OLAS,http://www.casadellibro.com/libro-cancion-de-mar-3-olas/9788408112631/2094750,AMANDA HOCKING,PLANETA,
21/05/2014,MAREAS,http://www.casadellibro.com/libro-mareas/9788483655979/2292366,EMILY SNOW,SUMA,
21/05/2014,AMY Y ROGER,http://www.casadellibro.com/libro-amy-y-roger/9788416096022/2303901,MORGAN MATSON,PLATAFORMA,
21/06/2012,VIAJE AL CENTRO DE LA TIERRA,http://www.casadellibro.com/libro-viaje-al-centro-de-la-tierra/9788427203099/1995816,JULES VERNE,MOLINO,
21/09/2011,ABRASADA,http://www.casadellibro.com/libro-abrasada/9788498006803/1886484,P.C. CAST y KRISTIN CAST,LA FACTORIA DE IDEAS,
21/09/2012,EL HOGAR DE MISS PEREGRINE PARA NIÑOS PECULIARES,http://www.casadellibro.com/libro-el-hogar-de-miss-peregrine-para-ninos-peculiares/9788427900301/2031792,RANSOM RIGGS,NOGUER Y CARALT,
21/10/2013,FUEGO LAS ELEGIDAS,http://www.casadellibro.com/libro-fuego-las-elegidas/9788415532835/2218303,MATS STRANDBERG,MAEVA,
21/10/2014,EL MISTERIO DE LOS BAILARINES (LUCERO DE PLATA),http://www.casadellibro.com/libro-el-misterio-de-los-bailarines-lucero-de-plata/9788468201108/1884976,SIR ARTHUR CONAN DOYLE,VICENS-VIVES,
22/01/2013,NOCHES DE GUARDIA,http://www.casadellibro.com/libro-noches-de-guardia/9788408037873/2054055,PAULA ROC,PLANETA,
22/01/2015,SALSEO GAMER,http://www.casadellibro.com/libro-salseo-gamer/9788499984629/2408247,"MANGEL, ALEXBY11 y SR. CHEETO",TEMAS DE HOY,
22/01/2015,AFTER. ALMAS PERDIDAS (SERIE AFTER 3),http://www.casadellibro.com/libro-after-almas-perdidas-serie-after-3/9788408135678/2408294,ANNA TODD,PLANETA,
22/01/2015,"LOS GEMELOS CONGELADOS (SERIE FLANAGAN, 11)",http://www.casadellibro.com/libro-los-gemelos-congelados-serie-flanagan-11/9788467871159/2494364,JAUME RIBERA y ANDREU MARTIN,ANAYA,
22/01/2015,HUNGER GAMES TRILOGY BOXED SET,http://www.casadellibro.com/libro-hunger-games-trilogy-boxed-set/9781407136547/2494365,SUZANNE COLLINS,SCHOLASTIC INC.,
22/01/2015,"LET S KILL UNCLE: IN AN IDYLLIC, PEACEFUL ISLAND SETTING TWO CHARMING CHILDREN ON SUMMER HOLIDAY CONSPIRE TO EXCUTE THE PERFECT MURDER-AND GET AWAY WITH IT",http://www.casadellibro.com/libro-let-s-kill-uncle-in-an-idyllic-peaceful-island-setting-two-charming-children-on-summer-holiday-conspire-to-excute-the-------perfect-murder-and-get-away-with-it/9781608195114/2494366,ROHAN O GRADY,BLOOMSBURY PUBLISHING LTD.,
22/02/2013,LOS DIAS QUE NOS SEPARAN,http://www.casadellibro.com/libro-los-dias-que-nos-separan/9788415750239/2090548,LAIA SOLER,PLATAFORMA,
22/03/2012,SONIDOS DEL CORAZON,http://www.casadellibro.com/libro-sonidos-del-corazon/9788484287049/1966485,JORDI SIERRA I FABRA,ALBA EDITORIAL,
22/03/2012,EL CABALLERO FANTASMA,http://www.casadellibro.com/libro-el-caballero-fantasma/9788498416466/1967579,CORNELIA FUNKE,SIRUELA,
22/05/2012,EL VERANO EN QUE ME ENAMORE DE TI,http://www.casadellibro.com/libro-el-verano-en-que-me-enamore-de-ti/9788408111528/1973679,JENNY HAN,PLANETA,
22/05/2012,LA LLAVE DEL ALQUIMISTA,http://www.casadellibro.com/libro-la-llave-del-alquimista/9788498418392/1988676,CRISTINA BRAMBILLA,SIRUELA,
22/05/2014,"NUNCA OLVIDAN (MENTES PODEROSAS, 2)",http://www.casadellibro.com/libro-nunca-olvidan-mentes-poderosas-2/9788427205079/2292351,ALEXANDRA BRACKEN,MOLINO,
22/05/2014,QUERIDO ATTICUS,http://www.casadellibro.com/libro-querido-atticus/9788427206755/2292352,KAREN HARRINGTON,MOLINO,
22/05/2014,EL CORREDOR DEL LABERINTO 1,http://www.casadellibro.com/libro-el-corredor-del-laberinto-1/9788493801311/1811437,JAMES DASHNER,NOCTURNA EDICIONES,
22/06/2010,LA OLA,http://www.casadellibro.com/libro-la-ola/9788492696369/1769133,MORTON RHUE,TAKATUKA,
22/09/2003,TRISTANA,http://www.casadellibro.com/libro-tristana/9788431668587/921492,BENITO PEREZ GALDOS,VICENS-VIVES,
22/09/2009,CAZADORES DE SOMBRAS 2: CIUDAD DE CENIZA,http://www.casadellibro.com/libro-cazadores-de-sombras-2-ciudad-de-ceniza/9788408087533/1266289,CASSANDRA CLARE,PLANETA,
22/09/2011,LOS TRES INVESTIGADORES: LOS MEJORES CASOS,http://www.casadellibro.com/libro-los-tres-investigadores-los-mejores-casos/9788427201118/1875562,ROBERT ARTHUR,MOLINO,
22/10/2007,EL CASTILLO AMBULANTE,http://www.casadellibro.com/libro-el-castillo-ambulante/9788496756397/1163778,DIANA WYNNE JONES,BERENICE,
22/10/2012,CORAZON DE TINTA,http://www.casadellibro.com/libro-corazon-de-tinta/9788415723004/2042290,CORNELIA FUNKE,SIRUELA,
22/10/2013,COLISION,http://www.casadellibro.com/libro-colision/9788415880431/2224139,ELIZABETH NORRIS,PLATAFORMA,
22/11/2011,LA TRILOGIA DE LA NIEBLA,http://www.casadellibro.com/libro-la-trilogia-de-la-niebla/9788408107095/1944978,CARLOS RUIZ ZAFON,PLANETA,
22/11/2011,DIARIO DE STEFAN (CRONICAS VAMPIRICAS),http://www.casadellibro.com/libro-diario-de-stefan-cronicas-vampiricas/9788408105527/1890870,VV.AA.,PLANETA,
22/12/2014,EL MISTERIO DE LA BODEGA,http://www.casadellibro.com/libro-el-misterio-de-la-bodega/9788416064960/2478276,NICOLAS JUNQUERO FERNANDEZ,EDICIONES ALBORES,
22/12/2014,"5 SECONDS OF SUMMER: HEY, LET S MAKE A BAND!: THE OFFICIAL 5SOS BOOK",http://www.casadellibro.com/libro-5-seconds-of-summer-hey-let-s-make-a-band-the-official-5sos-book/9780007594894/2478302,VV.AA.,HARPERCOLLINS PUB.,
23/01/2013,HIJA DE HUMO Y HUESO,http://www.casadellibro.com/libro-hija-de-humo-y-hueso/9788466326766/2055045,LAINI TAYLOR,PUNTO DE LECTURA,
23/01/2015,LA TRAPISONDA,http://www.casadellibro.com/libro-la-trapisonda/9788494326424/2494835,RAFAEL ANDRES MOMBIEDRO,KOLIMA,
23/03/2009,EDIPO REY,http://www.casadellibro.com/libro-edipo-rey/9788437625423/1249402,SOFOCLES,CATEDRA,
23/03/2009,MARIANELA,http://www.casadellibro.com/libro-marianela/9788437625430/1249403,BENITO PEREZ GALDOS,CATEDRA,
