link_to_book/_text,cover_image/_alt,link_to_book,link_to_book/_title,cover_image
"Me, Mum & Mystery 3. El Caso Del Elefante De Marfil",Detalles del producto,http://www.amazon.es/Mum-Mystery-Caso-Elefante-Marfil/dp/8468312258/ref=sr_1_15/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-15,"Me, Mum & Mystery 3. El Caso Del Elefante De Marfil",http://ecx.images-amazon.com/images/I/51SkwgFfmrL._AA200_.jpg
Las aventuras de Alfred y Agatha VII: La momia del titanic,Detalles del producto,http://www.amazon.es/Las-aventuras-Alfred-Agatha-VII-ebook/dp/B00NC8TPAI/ref=sr_1_16/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-16,Las aventuras de Alfred y Agatha VII: La momia del titanic,"http://ecx.images-amazon.com/images/I/51ya9rRimjL._SL200_PIsitb-sticker-arrow-dp,TopRight,12,-18_SH30_OU30_AA200_.jpg"
Mackenzie 2: Malos deseos,Detalles del producto,http://www.amazon.es/Mackenzie-deseos-Sarah-Julia-Kane-ebook/dp/B00NC8TO3Q/ref=sr_1_17/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-17,Mackenzie 2: Malos deseos,"http://ecx.images-amazon.com/images/I/51T2Wdd4OYL._SL200_PIsitb-sticker-arrow-dp,TopRight,12,-18_SH30_OU30_AA200_.jpg"
La nueva vida del señor Rutin (Premio EDEBÉ Infantil 2014) (Tucán verde),Detalles del producto,http://www.amazon.es/nueva-se%C3%B1or-Rutin-Premio-Infantil-ebook/dp/B00NC8TNOQ/ref=sr_1_18/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-18,La nueva vida del señor Rutin (Premio EDEBÉ Infantil 2014) (Tucán verde),"http://ecx.images-amazon.com/images/I/51SsKLinalL._SL200_PIsitb-sticker-arrow-dp,TopRight,12,-18_SH30_OU30_AA200_.jpg"
La pandilla Clik 1: EL CASO DEL ROBOT HIPNOTIZADOR,Detalles del producto,http://www.amazon.es/pandilla-Clik-CASO-ROBOT-HIPNOTIZADOR-ebook/dp/B00NC8TPIU/ref=sr_1_19/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-19,La pandilla Clik 1: EL CASO DEL ROBOT HIPNOTIZADOR,http://ecx.images-amazon.com/images/I/61dHdflCHLL._AA200_.jpg
La pandilla Clik 2: EL MISTERIO DE COCODRILO 73,Detalles del producto,http://www.amazon.es/pandilla-Clik-EL-MISTERIO-COCODRILO-ebook/dp/B00NC8TPH6/ref=sr_1_20/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-20,La pandilla Clik 2: EL MISTERIO DE COCODRILO 73,http://ecx.images-amazon.com/images/I/61iwXpttU5L._AA200_.jpg
Mackenzie 3: Los días contados,Detalles del producto,http://www.amazon.es/Mackenzie-3-Los-d%C3%ADas-contados-ebook/dp/B00NC8TO5E/ref=sr_1_21/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-21,Mackenzie 3: Los días contados,"http://ecx.images-amazon.com/images/I/51RFooolh0L._SL200_PIsitb-sticker-arrow-dp,TopRight,12,-18_SH30_OU30_AA200_.jpg"
Rino detective 4 y los misterios de atardecer,Detalles del producto,http://www.amazon.es/Rino-detective-los-misterios-atardecer-ebook/dp/B00NC8TNKK/ref=sr_1_22/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-22,Rino detective 4 y los misterios de atardecer,http://ecx.images-amazon.com/images/I/51aLbTVe0iL._AA200_.jpg
TIGRE BLANCO 4: El tesoro del Tigre blanco,Detalles del producto,http://www.amazon.es/TIGRE-BLANCO-tesoro-Tigre-blanco-ebook/dp/B00NC8TON6/ref=sr_1_23/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-23,TIGRE BLANCO 4: El tesoro del Tigre blanco,"http://ecx.images-amazon.com/images/I/41bYoHjgmSL._SL200_PIsitb-sticker-arrow-dp,TopRight,12,-18_SH30_OU30_AA200_.jpg"
La filla de la nit (Periscopi),Detalles del producto,http://www.amazon.es/filla-Periscopi-Laura-Gallego-Garc%C3%ADa/dp/8423679292/ref=sr_1_24/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-24,La filla de la nit (Periscopi),http://ecx.images-amazon.com/images/I/51R9FquRqgL._AA200_.jpg
