pub_date,link_to_book/_text,link_to_book,author,publisher
13/02/2012,Tout premiers puzzles Les gentils animaux. Dès 2 ans,http://www.decitre.fr/livres/tout-premiers-puzzles-les-gentils-animaux-9782803454709.html,Chantecler,Chantecler
13/02/2012,Mon tout premier bloc de dessin. Etape par étape,http://www.decitre.fr/livres/mon-tout-premier-bloc-de-dessin-9782803454778.html,Anita Engelen,Chantecler
13/02/2012,Tout premiers puzzles Corentin. Dès 3 ans,http://www.decitre.fr/livres/tout-premiers-puzzles-corentin-9782803454884.html,Clara Suetens,Chantecler
13/02/2012,Mon recueil d'Histoires Magiques,http://www.decitre.fr/livres/mon-recueil-d-histoires-magiques-9782803454952.html,Walter Oliviers,Chantecler
15/02/2012,Star Wars The Clone Wars Tome 12 Le duel final,http://www.decitre.fr/livres/star-wars-the-clone-wars-tome-12-le-duel-final-9782012027848.html,Laurent Nicole,Hachette Jeunesse
15/02/2012,13 Pliages de véhicules,http://www.decitre.fr/livres/13-pliages-de-vehicules-9782035870193.html,Larousse,Larousse
15/02/2012,La danseuse et le roi,http://www.decitre.fr/livres/la-danseuse-et-le-roi-9782081243217.html,Anne-Marie Pol,"[""Flammarion jeunesse"", ""E-book""]"
15/02/2012,40 Contes de France,http://www.decitre.fr/livres/40-contes-de-france-9782081265004.html,Jean Muzi,Flammarion jeunesse
15/02/2012,19 fables du roi lion,http://www.decitre.fr/livres/19-fables-du-roi-lion-9782081265684.html,Jean Muzi,Flammarion
15/02/2012,Les Présidents de la République,http://www.decitre.fr/livres/les-presidents-de-la-republique-9782330001704.html,Vincent Cuvellier,"[""Actes Sud Junior"", ""E-book""]"
15/02/2012,Les Chevaliers à petits pas,http://www.decitre.fr/livres/les-chevaliers-a-petits-pas-9782330001711.html,Isabelle Ortega,Actes Sud Junior
15/02/2012,La République à petits pas,http://www.decitre.fr/livres/la-republique-a-petits-pas-9782330001735.html,François Michel,Actes Sud Junior
14/02/2012,Un gros coco en cocola,http://www.decitre.fr/livres/un-gros-coco-en-cocola-9782244407241.html,"Karine-Marie Amiot, Isabelle Jacqué",Lito
14/02/2012,Bec-en-fer Tome 1 Le complot de Bec-en-fer,http://www.decitre.fr/livres/bec-en-fer-tome-1-le-complot-de-bec-en-fer-9782360350797.html,Jean-Louis Pesch,Apart (Editions L')
14/02/2012,J'apprends les couleurs avec les animaux dès 2 ans,http://www.decitre.fr/livres/j-apprends-les-couleurs-avec-les-animaux-des-2-ans-9782244254227.html,André Boos,Lito
14/02/2012,J'apprends les couleurs avec les animaux dès 3 ans,http://www.decitre.fr/livres/j-apprends-les-couleurs-avec-les-animaux-des-3-ans-9782244254234.html,André Boos,Lito
14/02/2012,J'apprends le nom des animaux de la ferme,http://www.decitre.fr/livres/j-apprends-le-nom-des-animaux-de-la-ferme-9782244254265.html,André Boos,Lito
14/02/2012,Histoires d'arts et métiers,http://www.decitre.fr/livres/histoires-d-arts-et-metiers-9782910272753.html,"Marilyn Plénard, Julie Wendling",Flies France
14/02/2012,La Fée Gnassou,http://www.decitre.fr/livres/la-fee-gnassou-9782244407265.html,Elsa Fouquier,Lito
14/02/2012,Juliette jardine,http://www.decitre.fr/livres/juliette-jardine-9782244491387.html,Doris Lauer,Lito
14/02/2012,Les pompiers,http://www.decitre.fr/livres/les-pompiers-9782244260563.html,"Yvette Barbetti, Caroline Hüe",Lito
14/02/2012,"Cherche l'intrus !. 50 jeux, Dès 5 ans",http://www.decitre.fr/livres/cherche-l-intrus-50-jeux-des-5-ans-9782244800479.html,Yinxuan Li Dezarmenien,Lito
14/02/2012,Les engins et les tracteurs,http://www.decitre.fr/livres/les-engins-et-les-tracteurs-9782244260570.html,"Yvette Barbetti, Manola Caprini",Lito
14/02/2012,Mots croisés 8 ans,http://www.decitre.fr/livres/mots-croises-8-ans-9782244800165.html,"Virginie Loubier, Mauricette Vial-Andru, Karine-Marie Amiot",Lito
13/02/2012,Le grand livre des étoiles et des planètes,http://www.decitre.fr/livres/le-grand-livre-des-etoiles-et-des-planetes-9782803454983.html,"Joe Rhatigan, Rain Newcomb",Chantecler
13/02/2012,Mon super livre de jeux malins. 7-9 ans,http://www.decitre.fr/livres/mon-super-livre-de-jeux-malins-9782803455003.html,Chantecler,Chantecler
13/02/2012,Mon super livre de jeux éducatifs. 9-11 ans,http://www.decitre.fr/livres/mon-super-livre-de-jeux-educatifs-9782803455010.html,Chantecler,Chantecler
13/02/2012,Ma super mode. Coloriage,http://www.decitre.fr/livres/ma-super-mode-9782803455249.html,Katy Jackson,Chantecler
13/02/2012,Dix petits écoliers,http://www.decitre.fr/livres/dix-petits-ecoliers-9782917516249.html,Pauline Duhamel,Chocolat ! Jeunesse
13/02/2012,Si j'avais deux Dragons,http://www.decitre.fr/livres/si-j-avais-deux-dragons-9782917516256.html,"Raphaël Baud, Fabienne Roulié",Chocolat ! Jeunesse
13/02/2012,Petit Lion,http://www.decitre.fr/livres/petit-lion-9782917871195.html,"Clotilde Bernos, Delphine Lauvernet",Planète rêvée
13/02/2012,Chapeau Bonheur,http://www.decitre.fr/livres/chapeau-bonheur-9782917871201.html,"Clotilde Bernos, Sabine Cazassus",Planète rêvée
13/02/2012,Nelly & César Le trésor caché,http://www.decitre.fr/livres/nelly-cesar-le-tresor-cache-9789031728770.html,Ingrid Godon,Averbode
13/02/2012,"Collage fun !. Crée les plus beaux panoramas à l'aide des pochoirs, des autollants et des pages à motifs",http://www.decitre.fr/livres/collage-fun-cree-les-plus-beaux-panoramas-a-l-aide-des-pochoirs-des-autollants-et-des-pages-a-motifs-edition-bilingue-francais-neerlandais-9789044731880.html,Frieda Van Raevels,Chantecler
13/02/2012,Super auto color,http://www.decitre.fr/livres/super-auto-color-9789044732382.html,Chantecler,Chantecler
13/02/2012,Ma belle maison. Coloriage,http://www.decitre.fr/livres/ma-belle-maison-9782803455256.html,Katy Jackson,Chantecler
13/02/2012,Super mandala coloring,http://www.decitre.fr/livres/super-mandala-coloring-9789044732320.html,Chantecler,Chantecler
13/02/2012,Pars à la découverte de la nature,http://www.decitre.fr/livres/pars-a-la-decouverte-de-la-nature-9782803454563.html,Angelika Lenz,Chantecler
10/02/2012,"Histoires de chevaux, de poneys et licornes. Jeunes lecteurs CP-CE",http://www.decitre.fr/livres/histoires-de-chevaux-de-poneys-et-licornes-9782215117162.html,"Christelle Chatel, Annick Gabillet",Fleurus
10/02/2012,Machine à lettres,http://www.decitre.fr/livres/machine-a-lettres-9782352891345.html,Julien Magnani,MeMo (Editions)
10/02/2012,Pas de ciel sans oiseaux,http://www.decitre.fr/livres/pas-de-ciel-sans-oiseaux-9782740428436.html,Rémi Courgeon,Mango Jeunesse
10/02/2012,Le dauphin et la baleine,http://www.decitre.fr/livres/le-dauphin-et-la-baleine-9782740429242.html,"Dreaming Green, Su-bok Choi",Mango Jeunesse
10/02/2012,Le crocodile,http://www.decitre.fr/livres/le-crocodile-9782740429259.html,"Dreaming Green, Young-ran Kim",Mango Jeunesse
10/02/2012,La princesse vient à quatre heures,http://www.decitre.fr/livres/la-princesse-vient-a-quatre-heures-9782889081127.html,"Wolfdietrich Schnurre, Rotraut Susanne Berner",La joie de lire
10/02/2012,Le camion-poubelle,http://www.decitre.fr/livres/le-camion-poubelle-9782889081141.html,Max Estes,La joie de lire
10/02/2012,1000 Stickers et Activités sur les animaux,http://www.decitre.fr/livres/1000-stickers-et-activites-sur-les-animaux-9781445459622.html,Parragon,Parragon
10/02/2012,L'escargot,http://www.decitre.fr/livres/l-escargot-9782740429211.html,"Dreaming Green, Jin-Mi Jeong",Mango Jeunesse
10/02/2012,Le livre des filles à dessiner et à colorier (aussi autorisé aux garçons !),http://www.decitre.fr/livres/le-livre-des-filles-a-dessiner-et-a-colorier-aussi-autorise-aux-garcons-9782840066644.html,"Beth Gunnell, Katy Jackson, Nellie Ryan",Mila éditions
