image,book_page_url,title,pub_date,series,author,isbn,format,publisher,language,page,title,category
http://ecx.images-amazon.com/images/I/51a8m%2BPLv9L._AA160_.jpg,http://www.amazon.it/Atlante-del-mondo-Con-adesivi/dp/140957847X/ref=sr_1_11/279-2284835-3555505?s=books&ie=UTF8&qid=1414921819&sr=1-11,Atlante del mondo. Con adesivi,– 27 ago 2014,Collana: Libri stickers,"di Sam Baer (Autore), Nathalie Ragondet (Autore), C. Corazza (Traduttore) & 0 altro",ISBN-13: 978-1409578475,Copertina flessibile,Editore: Usborne Publishing (27 agosto 2014),,Copertina flessibile: 24 pagine,Atlante del mondo. Con adesivi,Libri > Libri per bambini e ragazzi > Libri interattivi
http://ecx.images-amazon.com/images/I/51dS3AYK53L._AA160_.jpg,http://www.amazon.it/Relativity-Cristin-Bishara/dp/8891508837/ref=sr_1_12/279-2284835-3555505?s=books&ie=UTF8&qid=1414921819&sr=1-12,Relativity,– 17 set 2014,Collana: Crossing,"di Cristin Bishara (Autore), A. Taroni (Traduttore)",ISBN-13: 978-8891508836,Copertina rigida,Editore: Fabbri (17 settembre 2014),Lingua: Italiano,Copertina rigida: 278 pagine,Relativity,"Libri > Fantascienza, Horror e Fantasy > Fantasy Libri > Libri per bambini e ragazzi > Fantascienza, Horror e Fantasy > Fantasy"
http://ecx.images-amazon.com/images/I/51vIlcPa2YL._AA160_.jpg,http://www.amazon.it/segreti-delle-navi-Conrad-Mason/dp/1409529037/ref=sr_1_13/279-2284835-3555505?s=books&ie=UTF8&qid=1414921819&sr=1-13,I segreti delle navi,– 1 gen 2030,,"di Conrad Mason (Autore), Colin King (Autore)",ISBN-13: 978-1409529033,Copertina rigida,Editore: Usborne Publishing (1 gennaio 2030),Lingua: Italiano,Copertina rigida: 16 pagine,I segreti delle navi,Libri > Libri per bambini e ragazzi > Libri interattivi
http://ecx.images-amazon.com/images/I/61L3xzFBV%2BL._AA160_.jpg,http://www.amazon.it/tabelline-Sollevo-e-scopro/dp/1409578437/ref=sr_1_14/279-2284835-3555505?s=books&ie=UTF8&qid=1414921819&sr=1-14,Le tabelline. Sollevo e scopro,– 27 ago 2014,,"di Rosie Dickins (Autore), M. Bogliolo (Traduttore)",ISBN-13: 978-1409578437,Copertina flessibile,Editore: Usborne Publishing (27 agosto 2014),,Copertina flessibile: 16 pagine,Le tabelline. Sollevo e scopro,Libri > Libri per bambini e ragazzi > Libri interattivi Libri > Libri per bambini e ragazzi > Primo apprendimento Valigeria > Borse > Cartelle e zaini per la scuola
http://ecx.images-amazon.com/images/I/51coSrJ1LRL._AA160_.jpg,http://www.amazon.it/Il-grande-libro-di-Peppa/dp/8809798376/ref=sr_1_15/279-2284835-3555505?s=books&ie=UTF8&qid=1414921819&sr=1-15,Il grande libro di Peppa,– 8 ott 2014,Collana: Peppa Pig,di Silvia D'Achille (Autore),ISBN-13: 978-8809798373,Copertina rigida,Editore: Giunti Kids (8 ottobre 2014),Lingua: Italiano,Copertina rigida: 12 pagine,Il grande libro di Peppa,Libri > Libri per bambini e ragazzi > Libri illustrati
http://ecx.images-amazon.com/images/I/51wHWfNSfNL._AA160_.jpg,http://www.amazon.it/Stilista-gioco-autunno-bamboline-adesivi/dp/1409579808/ref=sr_1_16/279-2284835-3555505?s=books&ie=UTF8&qid=1414921819&sr=1-16,Stilista per gioco. Moda autunno. Vesto le bamboline. Con adesivi,– 27 ago 2014,,"di Fiona Watt (Autore), Stella Baggott (Autore), G. Gatti (Traduttore) & 0 altro",ISBN-13: 978-1409579809,Copertina flessibile,Editore: Usborne Publishing (27 agosto 2014),,Copertina flessibile: 34 pagine,Stilista per gioco. Moda autunno. Vesto le bamboline. Con adesivi,Libri > Libri per bambini e ragazzi > Hobby e tempo libero Libri > Libri per bambini e ragazzi > Libri interattivi
http://ecx.images-amazon.com/images/I/31Qoq9pioxL._AA160_.jpg,http://www.amazon.it/Dov%C3%A8-mio-leone-Fiona-Watt/dp/1409515176/ref=sr_1_17/277-3342045-1894534?s=books&ie=UTF8&qid=1414921822&sr=1-17,Dov'è il mio leone?,– 27 ago 2014,Collana: Carezza i libri,"di Fiona Watt (Autore), R. Wells (Illustratore)",ISBN-13: 978-1409515173,Copertina flessibile,Editore: Usborne Publishing (27 agosto 2014),Lingua: Italiano,Copertina flessibile: 10 pagine,Dov'è il mio leone?,Libri > Libri per bambini e ragazzi > Libri interattivi
http://ecx.images-amazon.com/images/I/51d70U%2Bl8KL._AA160_.jpg,http://www.amazon.it/Colora-con-Topo-Tip-Aa-Vv/dp/8809798252/ref=sr_1_18/277-3342045-1894534?s=books&ie=UTF8&qid=1414921822&sr=1-18,Colora con Topo Tip,– 22 ott 2014,Collana: Topo Tip Cartoon,di Aa.Vv. (Autore),ISBN-13: 978-8809798250,Copertina flessibile,Editore: Giunti Kids (22 ottobre 2014),Lingua: Italiano,Copertina flessibile: 32 pagine,Colora con Topo Tip,Libri > Libri per bambini e ragazzi > Libri illustrati Libri > Libri per bambini e ragazzi > Libri interattivi
http://ecx.images-amazon.com/images/I/51%2BfL-ipicL._AA160_.jpg,http://www.amazon.it/libro-perch%C3%A9-umano-Sollevo-scopro/dp/1409578445/ref=sr_1_19/277-3342045-1894534?s=books&ie=UTF8&qid=1414921822&sr=1-19,Il libro dei perché. Il corpo umano. Sollevo e scopro,– 27 ago 2014,,"di Katie Daynes (Autore), Marie-Eve Tremblay (Autore), S. Mambrini (Traduttore) & 0 altro",ISBN-13: 978-1409578444,Copertina rigida,Editore: Usborne Publishing (27 agosto 2014),,Copertina rigida: 14 pagine,Il libro dei perché. Il corpo umano. Sollevo e scopro,"Libri > Libri per bambini e ragazzi > Libri interattivi Libri > Libri per bambini e ragazzi > Scienze, natura e tecnologia"
http://ecx.images-amazon.com/images/I/51Im5d4ygrL._AA160_.jpg,http://www.amazon.it/Zoo-logico-Jo%C3%ABlle-Jolivet/dp/8817054070/ref=sr_1_20/277-3342045-1894534?s=books&ie=UTF8&qid=1414921822&sr=1-20,Zoo logico,– 8 feb 2012,,"di Joëlle Jolivet (Autore), Emmanuelle Grundmann (Autore), M. Nalini (Traduttore) & 0 altro",ISBN-13: 978-8817054072,Copertina rigida,Editore: Rizzoli; 2 edizione (8 febbraio 2012),Lingua: Italiano,Copertina rigida: 38 pagine,Zoo logico,"Libri > Libri per bambini e ragazzi > Primo apprendimento Libri > Libri per bambini e ragazzi > Scienze, natura e tecnologia"
