0/pub_date,0/author,0/isbn,0/publisher,0/language,0/title,0/isbn/0,0/isbn/1
出版日期：2014/09/22,利安德．凱尼,ISBN：9789571360614,出版地：台灣,語言：繁體中文,蘋果設計的靈魂：強尼．艾夫傳〔附全彩年表〕,,
,一木,ISBN：9789571360157,出版地：台灣,,大秦皇陵 卷三 不死鬼村,,
,謝宗翰,ISBN：9789869062039,出版地：台灣,,淋巴代謝瘦全身：神奇彈力帶刺激淋巴代謝，淋巴暢通一定瘦！(隨書附贈180公分專業加強版彈力帶),,
,劉畊宏,ISBN：9789861753652,出版地：台灣,,健身，就能改變人生：畊宏的25年精練祕笈（附DVD）,,
,施寄青,ISBN：9789869029636,出版地：台灣,,當頭棒喝：施寄青與紫靈破解現代奇案,,
,唐立淇,ISBN：9789868889125,,,12星座人性攻略(增訂版),,
,董淑芬/著,ISBN：9789869058629,出版地：台灣,,買菜學堂，開課了！新手採買便利冊,,
,黃健庭,ISBN：9789863205296,出版地：台灣,,勇敢不一樣：黃健庭與台東的成長故事,,
出版日期：2014/07/07,湊佳苗,ISBN：9789573330912,出版地：台灣,語言：繁體中文,白雪公主殺人事件,,
出版日期：2010/04/01,增田裕子,ISBN：9789862111536,出版地：台灣,語言：繁體中文,創意帽子屋,,
出版日期：2014/07/31,三浦展,ISBN：9789863204862,出版地：台灣,語言：繁體中文,超獨居時代的潛商機：一人化社會的消費趨勢報告,,
出版日期：2010/07/11,約翰．布羅,ISBN：9789862720042,出版地：台灣,語言：繁體中文,歷史的歷史： 史學家和他們的歷史時代,,
,洪震宇,ISBN：9789573274834,出版地：台灣,,風土餐桌小旅行：12個小地方的飲食人類學筆記,,
出版日期：2014/04/17,克里斯多夫．拉許,ISBN：4717702086220,出版地：台灣,語言：繁體中文,菁英的反叛,,
,蔣勳,ISBN：9789573274865,出版地：台灣,,微塵眾：紅樓夢小人物3,,
出版日期：2014/09/30,喬辛‧迪‧波沙達,ISBN：9789861753676,出版地：台灣,語言：繁體中文,盯住最大的棉花糖,,
出版日期：2014/10/02,芭柏．史塔基,ISBN：9789865671136,出版地：台灣,語言：繁體中文,味覺獵人：舌尖上的科學與美食癡迷症指南,,
出版日期：2013/09/05,大衛．格雷伯,ISBN：9789862724361,出版地：台灣,語言：繁體中文,債的歷史：從文明的初始到全球負債時代,,
出版日期：2014/09/22,吉莉安‧弗琳,ISBN：9999000914138,出版地：台灣,語言：繁體中文,控制(電影書衣版),,
出版日期：2013/11/02,曼弗烈．呂茨,ISBN：9789862724743,出版地：台灣,語言：繁體中文,大謊言時代,,
出版日期：2014/05/02,索妮雅．哈特奈,ISBN：9789865956905,出版地：台灣,語言：繁體中文,青春無期徒刑,,
,田中實加（陳宣儒）,ISBN：9789573274896,出版地：台灣,,灣生回家,,
出版日期：2012/07/13,泰瑞．伊格頓,ISBN：9789862722084,出版地：台灣,語言：繁體中文,散步在華爾街的馬克思,,
出版日期：2011/08/14,約翰．米爾斯海默,ISBN：9789861209296,出版地：台灣,語言：繁體中文,為什麼你的政府會說謊？揭開7種政治謊言背後的真相,,
出版日期：2013/08/08,阿馬蒂亞．庫馬爾．沈恩,ISBN：9789862724057,出版地：台灣,語言：繁體中文,正義的理念,,
出版日期：2014/10/01,道格拉斯．史東,ISBN：9789573274933,出版地：台灣,語言：繁體中文,再也沒有難談的事：哈佛法學院教你如何開口，解決切身的大小事,,
,張啟楷,ISBN：9789862722442,出版地：台灣,,搶救你的納稅錢,,
出版日期：2014/10/16,約翰‧偉克斯,ISBN：9789862726655,出版地：台灣,語言：繁體中文,為 1% 的人服務的經濟學：主流經濟學如何向少數靠攏，排除多數人的幸福,,
出版日期：2014/06/07,威廉．艾格斯,ISBN：9789862726006,出版地：台灣,語言：繁體中文,政府失能下的新經濟革命：未來10年解決社會問題最重要的變革力量,,
出版日期：2014/10/01,奧斯汀‧克隆,ISBN：9789573275015,出版地：台灣,語言：繁體中文,點子就要秀出來：10個行銷創意的好撇步，讓人發掘你的才華 (博客來獨家書封版),,
出版日期：2013/05/30,白石一文,,出版地：台灣,語言：繁體中文,不自由的心,卡住的情感──閱讀白石一文《不自由的心》 文／黃崇凱（小說家）2013年06月07日 如果有一天，你心儀已久的女同事突然告訴你：「我喜歡你。所以請你也喜歡我。」想必你的內心大概會掀起一場最溫柔的暴動，山河移位，雲影鼓湧，耳邊響起天使的小喇叭，好像上帝賜予世界第一道光。可是你明明結婚了，是個該死的已婚男人，那又該怎麼面對這樣的真心話大告白？ 這就是白石一文小說中那些傷 more,ISBN：9789861739243
出版日期：2014/03/10,麗莎．葛倫沃,ISBN：9789571359106,出版地：台灣,語言：繁體中文,非凡的亨利．豪斯,,
出版日期：1994/09/15,村上春樹,ISBN：9571313408,出版地：台灣,語言：繁體中文,世界末日與冷酷異境,,
出版日期：2007/11/05,村上春樹,ISBN：9789571347448,出版地：台灣,語言：繁體中文,村上朝日堂,,
,白石一文,叢書系列：日本暢銷小說,,,我心中尚未崩壞的部分,,
出版日期：2012/07/06,尚路易．傅尼葉,,出版地：台灣,語言：繁體中文,對不起，她不在了,就像是旅行一樣，只是妳比較早出發。 文／幾存2012年07月24日 尚路易．傅尼葉，這位對台灣讀者而言，原本陌生的法國作家及電視劇編導，2009年的首度在台出版的《爸爸，我們去哪裡？》書中為兩個殘障孩子而寫的文字，幽默深切地刻劃出了他身為一個父親的痛苦掙扎，也撫慰了許多讀者。當時，在書中的一小段篇幅中，出現了一位迷人、有教養、又富幽默感的年輕女子。 這 more,ISBN：9789866249891
出版日期：1993/08/15,村上春樹,ISBN：9571307599,出版地：台灣,語言：繁體中文,國境之南‧太陽之西,,
出版日期：1992/02/25,村上春樹,ISBN：9571315761,出版地：台灣,語言：繁體中文,1973年的彈珠玩具,,
出版日期：2009/11/09,強納生．崔普爾,ISBN：9789861735719,出版地：台灣,語言：繁體中文,還會有人愛我嗎？,,
出版日期：2009/03/01,瑞．科倫,ISBN：9789866472206,出版地：台灣,語言：繁體中文,妳離開以後,,
