title,sub_title,authors,page,publisher,pub_date,spec_1,spec_2,spec_3
Meisjesgeluk,knutselplezier voor jonge meiden; 40 creatieve ideeën die geluk brengen,"[""Auteur: Pia Deges"", ""Verkoop door bol.com""]",120 pagina's,SU Kids & Digits,februari 2015,"Productinformatie Auteur Pia Deges Soort Met illustraties Taal Nederlands Vertaald door Emmy Middelbeek Afmetingen 15x238x225 mm Gewicht 564,00 gram Geschikt voor 4 - 12 jaar Druk 1 ISBN10 9002256795 ISBN13 9789002256790","Je vindt dit boek in Categorieën Kind & Jeugd > Informatieve boeken Leeftijd 3-6 jaar , 6-9 jaar , 9-12 jaar",Nederlands 120 pagina's SU Kids & Digits februari 2015
Tekenschool,het grote tekenboek voor kinderen,"[""Auteur: Alexander von Knorre & Marie Geissler"", ""Co-auteur: Ina Hattenhauer & Stefanie Jeschke"", ""Verkoop door bol.com""]",136 pagina's,SU Kids & Digits,februari 2015,"Productinformatie Auteur Alexander von Knorre, Marie Geissler Co-auteur Ina Hattenhauer, Stefanie Jeschke Illustrator Rosa Linke, Nadja Rümelin, Franziska Walther Soort Met illustraties Taal Nederlands Afmetingen 12x284x212 mm Gewicht 591,00 gram Geschikt voor 4 - 12 jaar Druk 1 ISBN10 9002256787 ISBN13 9789002256783","Je vindt dit boek in Categorieën Kind & Jeugd > Informatieve boeken Leeftijd 3-6 jaar , 6-9 jaar , 9-12 jaar",Nederlands 136 pagina's SU Kids & Digits februari 2015
Een reus van een beer,,"[""Auteur: Kristien Dieltiens"", ""Verkoop door bol.com""]",,,,"Productinformatie Auteur Kristien Dieltiens Illustrator Seppe Van den Berghe Soort Met illustraties Taal Nederlands Afmetingen 18x219x175 mm Gewicht 516,00 gram Geschikt voor 4 - 12 jaar Druk 1 ISBN10 9058389979 ISBN13 9789058389978","Je vindt dit boek in Categorieën Kind & Jeugd > Leren lezen Leeftijd 3-6 jaar , 6-9 jaar , 9-12 jaar",
"Ver van eigen huis en haard, de kleine savoyaard","een verborgen geschiedenis, opgediept uit kinderboeken en centsprenten","[""Auteur: Dirk J. Tang"", ""Verkoop door bol.com""]",,,,"Productinformatie Auteur Dirk J. Tang Soort Met illustraties Taal Nederlands Afmetingen 3x267x186 mm Gewicht 177,00 gram Geschikt voor 0 - 12 jaar Druk 1 ISBN10 9490913510 ISBN13 9789490913519","Je vindt dit boek in Categorieën Kind & Jeugd > Kind & Jeugd overig Leeftijd 0-6 maanden , 1-2 jaar , 2-3 jaar , 3-6 jaar , 6-12 maanden , 6-9 jaar , 9-12 jaar",
Speel met Hopla! + DVD,,"[""Auteur: Bert Smets"", ""Verkoop door bol.com""]",,,,"Productinformatie Auteur Bert Smets Soort Met illustraties Taal Nederlands Afmetingen 20x303x218 mm Gewicht 252,00 gram Geschikt voor 1 - 3 jaar Druk 1 ISBN10 9031728594 ISBN13 9789031728596","Je vindt dit boek in Categorieën Kind & Jeugd > Baby- & Peuterboekjes Leeftijd 1-2 jaar , 2-3 jaar",
De trein van Stijn,,"[""Auteur: Alexis Nesme & Nvt."", ""Verkoop door bol.com""]",,,,"Productinformatie Auteur Alexis Nesme, Nvt. Overige betrokkenen Emilie Beaumont, Nathalie Bélineau Taal Nederlands Vertaald uit het Nederlands Afmetingen 19x172x156 mm Gewicht 247,00 gram Geschikt voor 1 - 3 jaar Druk 1 ISBN10 2504440812 ISBN13 9782504440810","Je vindt dit boek in Categorieën Kind & Jeugd > Baby- & Peuterboekjes Trefwoord(en) Rijmvertellingen , Treinen Leeftijd 1-2 jaar , 2-3 jaar",
Vloek van de kleine kers,,"[""Auteur: Geert Vanspauwen"", ""Verkoop door bol.com""]",,,,Productinformatie Auteur Geert Vanspauwen Taal Nederlands Geschikt voor 13 - 15 jaar Druk 1 ISBN10 1616270675 ISBN13 9781616270674,Je vindt dit boek in Categorieën Kind & Jeugd > Romans & Zelf lezen Leeftijd 12 jaar en ouder,
Badderen met Pim en Pom,,"[""Auteur: Mies Bouhuys"", ""Verkoop door bol.com""]",,,,"Productinformatie Auteur Mies Bouhuys Illustrator Fiep Westendorp Overige betrokkenen Mies Bouhuys Soort Met illustraties Taal Nederlands Afmetingen 16x213x167 mm Gewicht 52,00 gram Geschikt voor 0 - 12 jaar Druk 1 ISBN10 9045116472 ISBN13 9789045116471","Je vindt dit boek in Categorieën Kind & Jeugd > Kind & Jeugd overig Trefwoord(en) baby's , badboekje Leeftijd 0-6 maanden , 1-2 jaar , 2-3 jaar , 3-6 jaar , 6-12 maanden , 6-9 jaar , 9-12 jaar",
Booster,even dynamisch als de film!,"[""Auteur: Dirk Dobbeleers & Marc Hendrickx"", ""Verkoop door bol.com""]",,,,"Productinformatie Auteur Dirk Dobbeleers, Marc Hendrickx Overige betrokkenen Dirk Dobbeleers Soort Met illustraties Taal Nederlands Afmetingen 16x215x140 mm Gewicht 261,00 gram Geschikt voor 13 - 15 jaar Druk 1 ISBN10 9462342636 ISBN13 9789462342637",Je vindt dit boek in Categorieën Kind & Jeugd > Romans & Zelf lezen Trefwoord(en) Hangjongeren Leeftijd 12 jaar en ouder,
Bedreigd,,"[""Auteur: Kevin Brooks"", ""Conditie: Als nieuw \""alleen afdruk van prijzensticker zichtbaar\""""]",,,,"Productinformatie Auteur Kevin Brooks Taal Nederlands Vertaald door Wiebe Buddingh' Gewicht 414,00 gram Geschikt voor 13 - 15 jaar Druk 1 ISBN10 9022323730 ISBN13 9789022323731",Je vindt dit boek in Categorieën Kind & Jeugd > Romans & Zelf lezen Leeftijd 12 jaar en ouder,
