cover_image,link_to_book,link_to_book/_text
"[""http://image.bokus.com/images2/9789187217142_small_vilda-vaghals-vilda-liv"", ""http://image.bokus.com/images2/9789187217142_small_vilda-vaghals-vilda-liv""]",http://www.bokus.com/bok/9789187217142/vilda-vaghals-vilda-liv/,Vilda Våghals vilda liv
"[""http://image.bokus.com/images2/9789129689433_small_tva-stader"", ""http://image.bokus.com/images2/9789129689433_small_tva-stader""]",http://www.bokus.com/bok/9789129689433/tva-stader/,Två städer
"[""http://image.bokus.com/images2/9789129690941_small_hjartlos"", ""http://image.bokus.com/images2/9789129690941_small_hjartlos""]",http://www.bokus.com/bok/9789129690941/hjartlos/,Hjärtlös
http://image.bokus.com/images2/9789152309414_small_uppdrag-x-paket-roda-gula-och-bla-bockerna,http://www.bokus.com/bok/9789152309414/uppdrag-x-paket-roda-gula-och-bla-bockerna/,"Uppdrag X - Paket (röda, gula och blå böckerna)"
http://image.bokus.com/images2/9789157026187_small_sma-skratt-8-ljudknappar-med-skratt-och-fnitter,http://www.bokus.com/bok/9789157026187/sma-skratt-8-ljudknappar-med-skratt-och-fnitter/,Små skratt : 8 ljudknappar med skratt och fnitter
http://image.bokus.com/images2/9789157026842_small_husdjur-hanga-pa-vagnen-bok,http://www.bokus.com/bok/9789157026842/husdjur-hanga-pa-vagnen-bok/,Husdjur : hänga på vagnen-bok
http://image.bokus.com/images2/9789157026866_small_pa-garden-hanga-pa-vagnen-bok,http://www.bokus.com/bok/9789157026866/pa-garden-hanga-pa-vagnen-bok/,På gården : hänga på vagnen-bok
http://image.bokus.com/images2/9789157026941_small_prinsessor-flytande-badbok,http://www.bokus.com/bok/9789157026941/prinsessor-flytande-badbok/,Prinsessor : flytande badbok
"[""http://image.bokus.com/images2/9789157026965_small_pirater-flytande-badbok"", ""http://image.bokus.com/images2/9789157026965_small_pirater-flytande-badbok""]",http://www.bokus.com/bok/9789157026965/pirater-flytande-badbok/,Pirater : flytande badbok
"[""http://image.bokus.com/images2/9789173873550_small_evangelium-enligt-johannes-larsson"", ""http://image.bokus.com/images2/9789173873550_small_evangelium-enligt-johannes-larsson""]",http://www.bokus.com/bok/9789173873550/evangelium-enligt-johannes-larsson/,Evangelium enligt Johannes Larsson
"[""http://image.bokus.com/images2/9789174058482_small_minecraft-rodstenshandboken"", ""http://image.bokus.com/images2/9789174058482_small_minecraft-rodstenshandboken""]",http://www.bokus.com/bok/9789174058482/minecraft-rodstenshandboken/,Minecraft : Rödstenshandboken
"[""http://image.bokus.com/images2/9789174656589_small_sagan-om-stighelmer-myra"", ""http://image.bokus.com/images2/9789174656589_small_sagan-om-stighelmer-myra""]",http://www.bokus.com/bok/9789174656589/sagan-om-stighelmer-myra/,Sagan om StigHelmer Myra
"[""http://image.bokus.com/images2/9789174993981_small_nikkis-dagbok-2-berattelser-om-en-inte-sa-popular-partytjej"", ""http://image.bokus.com/images2/9789174993981_small_nikkis-dagbok-2-berattelser-om-en-inte-sa-popular-partytjej""]",http://www.bokus.com/bok/9789174993981/nikkis-dagbok-2-berattelser-om-en-inte-sa-popular-partytjej/,Nikkis dagbok 2: berättelser om en (inte så) populär partytjej
"[""http://image.bokus.com/images2/9789129689235_small_harry-gunnar-och-presenten"", ""http://image.bokus.com/images2/9789129689235_small_harry-gunnar-och-presenten""]",http://www.bokus.com/bok/9789129689235/harry-gunnar-och-presenten/,"Harry, Gunnar och presenten"
"[""http://image.bokus.com/images2/9789129690866_small_hjartlos"", ""http://image.bokus.com/images2/9789129690866_small_hjartlos""]",http://www.bokus.com/bok/9789129690866/hjartlos/,Hjärtlös
"[""http://image.bokus.com/images2/9789129690996_small_garna-med-tuva"", ""http://image.bokus.com/images2/9789129690996_small_garna-med-tuva""]",http://www.bokus.com/bok/9789129690996/garna-med-tuva/,Garna med Tuva
"[""http://image.bokus.com/images2/9789129691092_small_djuren-i-skogen"", ""http://image.bokus.com/images2/9789129691092_small_djuren-i-skogen""]",http://www.bokus.com/bok/9789129691092/djuren-i-skogen/,Djuren i skogen
"[""http://image.bokus.com/images2/9789129691177_small_ludde-och-fodelsedagen"", ""http://image.bokus.com/images2/9789129691177_small_ludde-och-fodelsedagen""]",http://www.bokus.com/bok/9789129691177/ludde-och-fodelsedagen/,Ludde och födelsedagen
"[""http://image.bokus.com/images2/9789129691702_small_ivo-vera-gar-och-fiskar"", ""http://image.bokus.com/images2/9789129691702_small_ivo-vera-gar-och-fiskar""]",http://www.bokus.com/bok/9789129691702/ivo-vera-gar-och-fiskar/,Ivo & Vera går och fiskar
"[""http://image.bokus.com/images2/9789129691788_small_att-tanka-noga"", ""http://image.bokus.com/images2/9789129691788_small_att-tanka-noga""]",http://www.bokus.com/bok/9789129691788/att-tanka-noga/,Att tänka noga
"[""http://image.bokus.com/images2/9789129692617_small_stold-pa-tistelvagen"", ""http://image.bokus.com/images2/9789129692617_small_stold-pa-tistelvagen""]",http://www.bokus.com/bok/9789129692617/stold-pa-tistelvagen/,Stöld på Tistelvägen
"[""http://image.bokus.com/images2/9789129693065_small_klasskassan"", ""http://image.bokus.com/images2/9789129693065_small_klasskassan""]",http://www.bokus.com/bok/9789129693065/klasskassan/,Klasskassan
"[""http://image.bokus.com/images2/9789129693072_small_riddarnas-kamp"", ""http://image.bokus.com/images2/9789129693072_small_riddarnas-kamp""]",http://www.bokus.com/bok/9789129693072/riddarnas-kamp/,Riddarnas kamp
"[""http://image.bokus.com/images2/9789129693089_small_ludde-gor-en-zlatan"", ""http://image.bokus.com/images2/9789129693089_small_ludde-gor-en-zlatan""]",http://www.bokus.com/bok/9789129693089/ludde-gor-en-zlatan/,Ludde gör en Zlatan
"[""http://image.bokus.com/images2/9789129693096_small_luddes-salta-sommar"", ""http://image.bokus.com/images2/9789129693096_small_luddes-salta-sommar""]",http://www.bokus.com/bok/9789129693096/luddes-salta-sommar/,Luddes salta sommar
"[""http://image.bokus.com/images2/9789129693102_small_vi-smyger-pa-enok"", ""http://image.bokus.com/images2/9789129693102_small_vi-smyger-pa-enok""]",http://www.bokus.com/bok/9789129693102/vi-smyger-pa-enok/,Vi smyger på Enok
"[""http://image.bokus.com/images2/9789129693119_small_vingmuttern-min-allra-basta-van"", ""http://image.bokus.com/images2/9789129693119_small_vingmuttern-min-allra-basta-van""]",http://www.bokus.com/bok/9789129693119/vingmuttern-min-allra-basta-van/,Vingmuttern - min allra bästa vän
"[""http://image.bokus.com/images2/9789129693508_small_ludde-tar-gothia-cup"", ""http://image.bokus.com/images2/9789129693508_small_ludde-tar-gothia-cup""]",http://www.bokus.com/bok/9789129693508/ludde-tar-gothia-cup/,Ludde tar Gothia cup
"[""http://image.bokus.com/images2/9789129693522_small_monstret-i-skapet"", ""http://image.bokus.com/images2/9789129693522_small_monstret-i-skapet""]",http://www.bokus.com/bok/9789129693522/monstret-i-skapet/,Monstret i skåpet
"[""http://image.bokus.com/images2/9789129693706_small_robinson-crusoe"", ""http://image.bokus.com/images2/9789129693706_small_robinson-crusoe""]",http://www.bokus.com/bok/9789129693706/robinson-crusoe/,Robinson Crusoe
"[""http://image.bokus.com/images2/9789129693775_small_teddy-i-huset"", ""http://image.bokus.com/images2/9789129693775_small_teddy-i-huset""]",http://www.bokus.com/bok/9789129693775/teddy-i-huset/,Teddy i huset
"[""http://image.bokus.com/images2/9789129693805_small_den-dode-sonen"", ""http://image.bokus.com/images2/9789129693805_small_den-dode-sonen""]",http://www.bokus.com/bok/9789129693805/den-dode-sonen/,Den döde sonen
"[""http://image.bokus.com/images2/9789129693812_small_den-hemliga-koden"", ""http://image.bokus.com/images2/9789129693812_small_den-hemliga-koden""]",http://www.bokus.com/bok/9789129693812/den-hemliga-koden/,Den hemliga koden
http://image.bokus.com/images2/9789129693829_small_det-mystiska-huset,http://www.bokus.com/bok/9789129693829/det-mystiska-huset/,Det mystiska huset
http://image.bokus.com/images2/9789152321102_small_uppdrag-x-blaa-bockerna-tema-pirater,http://www.bokus.com/bok/9789152321102/uppdrag-x-blaa-bockerna-tema-pirater/,Uppdrag X - Blåa böckerna Tema Pirater
http://image.bokus.com/images2/9789152321119_small_uppdrag-x-blaa-bockerna-tema-kommunikation,http://www.bokus.com/bok/9789152321119/uppdrag-x-blaa-bockerna-tema-kommunikation/,Uppdrag X - Blåa böckerna Tema Kommunikation
http://image.bokus.com/images2/9789152321126_small_uppdrag-x-blaa-bockerna-tema-resor-och-aventyr,http://www.bokus.com/bok/9789152321126/uppdrag-x-blaa-bockerna-tema-resor-och-aventyr/,Uppdrag X - Blåa böckerna Tema Resor och äventyr
http://image.bokus.com/images2/9789152321133_small_uppdrag-x-blaa-bockerna-tema-samarbete,http://www.bokus.com/bok/9789152321133/uppdrag-x-blaa-bockerna-tema-samarbete/,Uppdrag X - Blåa böckerna Tema Samarbete
